funzione	header	riga	deprecated	firma
ZwComponentFolderListGet	zwapi_component.h	755		ZW_API_C ezwErrors ZwComponentFolderListGet(int *folderCount, szwEntityHandle **folderList);
ZwComponentFolderParentComponentGet	zwapi_component.h	778		ZW_API_C ezwErrors ZwComponentFolderParentComponentGet(szwEntityHandle folderHandle, szwEntityHandle *componentHandle);
ZwComponentGetByMergeShape	zwapi_component.h	607		ZW_API_C ezwErrors ZwComponentGetByMergeShape(szwEntityHandle shape, szwEntityHandle *component);
ZwComponentInsert	zwapi_component.h	389		ZW_API_C ezwErrors ZwComponentInsert(szwComponentInsertData data, const int *identifyCode, szwEntityHandle *componentHandle);
ZwComponentInsertInit	zwapi_component.h	339		ZW_API_C ezwErrors ZwComponentInsertInit(szwComponentInsertData *data);
ZwComponentInsertNew	zwapi_component.h	484		ZW_API_C ezwErrors ZwComponentInsertNew(szwComponentInsertNewData data, const int *identifyCode, szwEntityHandle *componentHandle);
ZwComponentInsertNewInit	zwapi_component.h	410		ZW_API_C ezwErrors ZwComponentInsertNewInit(szwComponentInsertNewData *data);
ZwComponentInterferenceCheck	zwapi_component.h	663		ZW_API_C ezwErrors ZwComponentInterferenceCheck(szwComponentInterferenceCheckData data, int *countInterference, szwComponentInterferenceResultData **interferenceData);
ZwComponentInterferenceFree	zwapi_component.h	678		ZW_API_C ezwErrors ZwComponentInterferenceFree(int countInterference, szwComponentInterferenceResultData **interferenceData);
ZwComponentListGet	zwapi_component.h	117		ZW_API_C ezwErrors ZwComponentListGet(const szwEntityHandle *componentHandle, int depth, int isIgnoreBlank, int isIgnoreSuppress, int isIncludeUnplaced, int *handleCount, szwEntityHandle **handleList);
ZwComponentPackedGet	zwapi_component.h	231		ZW_API_C ezwErrors ZwComponentPackedGet(szwEntityHandle componentHandle, int *isPacked);
ZwComponentPackedSet	zwapi_component.h	279		ZW_API_C ezwErrors ZwComponentPackedSet(const szwEntityHandle *componentHandle, int isPacked);
ZwComponentPathAndRootListGet	zwapi_component.h	313		ZW_API_C ezwErrors ZwComponentPathAndRootListGet(int *countComponent, zwPath **pathList, zwRootName **nameList);
ZwComponentRelationDissolve	zwapi_component.h	434		ZW_API_C ezwErrors ZwComponentRelationDissolve(szwEntityHandle feature, int *count, szwEntityHandle **componentList);
ZwComponentShapeInterferenceCheck	zwapi_component.h	638		ZW_API_C ezwErrors ZwComponentShapeInterferenceCheck(szwEntityHandle component1, szwEntityHandle component2, int ignoreOpenShape, int ignoreHiddenShape, int *interference, double *volume);
ZwComponentUnplacedCheck	zwapi_component.h	164		ZW_API_C ezwErrors ZwComponentUnplacedCheck(szwEntityHandle componentHandle, int *isUnplaced);
ZwComponentUserAttributeDelete	zwapi_attribute.h	461		ZW_API_C ezwErrors ZwComponentUserAttributeDelete(szwEntityHandle component, int strictFlag, int count, const zwString64 *nameList);
ZwComponentUserAttributeGet	zwapi_attribute.h	370		ZW_API_C ezwErrors ZwComponentUserAttributeGet(szwEntityHandle component, const zwString64 attributeName, int *count, szwUserAttribute **attributeList);
ZwComponentUserAttributeSet	zwapi_attribute.h	432		ZW_API_C ezwErrors ZwComponentUserAttributeSet(szwEntityHandle component, int count, const szwUserAttribute *attributeList);
ZwComponentVisibilityGet	zwapi_component.h	186		ZW_API_C ezwErrors ZwComponentVisibilityGet(szwEntityHandle componentHandle, int *isVisible);
