comando	label_ribbon	form_dialogo	hint	descrizione
~CmTblFnPop(1)	Show Operation, Hide Others (Toggle)		Show Operation, Hide others (toggle)	
~CmTblFnPop(2)	Wireframe Verify		WireFrame Verify	
~CmTblFnPop(3)	Calculate		Calculate	
~CmTblFnPop(4)	Highlight Features On/Off		Highlight Features On/Off	
~CmTblFnPop(5)	Lock/Unlock		Lock/Unlock Operation	
~CmTblFnPop(6)	Delete Tool Path		Delete Tool Path	
~CmTblFtrFnPop(10)	Remove from Operation		Remove from Operation	
~CmTblFtrFnPop(11)	Assign to Operation		Assign to Operation	
~CmTblFtrFnPop(12)	Highlight Feature On/Off		Highlight Feature On/Off	
~CmToolMainPop(1)	Insert Tool		Insert Tool	
~CmToolMainPop(2)	Delete All		Delete All	
~CmToolPop(1)	Edit		Edit	
~CmToolPop(2)	Remove		Remove	
~CmToolPop(20)	Manage		Manage	
~CmToolPop(3)	Select		Select	
~CmToolPop(5)	Delete		Delete	
~CmToolPop(6)	Rename		Rename	
~CmTpRegenTest	Tool Paths		Check Tool path dependencies for changes	
~CmTreeCall(adjustColumn)	Size All Columns to Fit		Resize all columns to adapt content	
~CmTreeCall(hideAllAttrs)	Hide All Attributes		Hide all the CAM tree attributes	
~CmTreeCall(showAttrsMgr)	Attributes Manager		Show the CAM tree attributes manager	
~CmUnBlankAllSk	UnBlank All Sketches		UnBlank all sketches	
~CmViewListImp	Import	CmViewSto	Import Views	Import Views from inserted Parts or top level of inserted Assembly
~CmmFrameRefOpPop(1)	Delete		Delete	
~CmmFrameRefOpPop(2)	Go To Operation		Go To Operation	
~CmmToolRefOpPop(1)	Delete		Delete	
~CmmToolRefOpPop(2)	Go To Operation		Go To Operation	
~DmFCSAddAdj	Adjacent Dimension		Adjacent dimension	
~DmFCSAddElem	Plane and Feature Indicator		Plane and feature indicator	
~DmFCSAddFrame	Tolerance Indicator		Tolerance indicator	
~DmHideDtm	Hide Projected Datums		Hide the unmarked projected datums	Hide all unmarked dimensions from projected datums in all views.
~DmMarkDtm	Mark Projected Datums		Mark the selected projected datum	Mark the selected projected datums and its corresponding datums in other views.
~DmReuseFcsDel	Delete		Delete	
~DmSaveFCS	Save Symbol			Save symbol
~DmShowDtm	Show Projected Datums		Show the unmarked projected datums	Show all dimensions from projected datums in all views.
~EqCurGetDim	Get Dimension		Get Dimension	
~EqListRem	Remove		Remove	
~EqListRen	Rename		Rename	
~EqListUpd	Update		Update	
~FCSEditorShow1	FCS Editor		FCS Editor	
~FCSEditorShow2	Text Editor		Text Editor	
~FeDesignSpace	Ansys - DesignSpace		Ansys - DesignSpace	
~FeDesignStar	Cosmos - DesignStar 2006		Cosmos - DesignStar 2006	
~FlexDesign			Flexible design	
~FtCmd(edit)	Edit		Edit	
~FtCmd(link)	Link		Link	
~FtCmd(send)	Send		Send	
~InterCollAll	Collapse All		Collapse All	
~InterExpdAll	Expand All		Expand All	
~InterHideAll	Hide All		Hide all	
~InterIgnoreThis	Ignore Interference		Ignore interference	
~InterShowAll	Show All		Show all	
~InterSortFromLargest	Sort Largest to Smallest			
~InterSortFromSmallest	Sort Smallest to Largest			
~InterZoom	Zoom To		Zoom To	
~LinkCmd(del)	Delete		Delete	
~LinkCmd(edel)	Delete		Delete	
~LinkCmd(edit)	Edit		Edit	
~LinkCmd(einq)	Inquire		Inquire	
~LinkCmd(esave)	Save		Save	
~LinkCmd(off)	Auto Regen OFF		Auto Regen OFF	
~LinkCmd(on)	Auto Regen ON		Auto Regen ON	
~LinkCmd(rgn)	Regen		Regen	
~MdAtRegDelItem	Delete		Delete region set.	
~MdAtRegRenameItem	Rename		Rename region set.	
~MdAtRegSetCavity	Assign to Cavity		Modify region set.	
~MdAtRegSetCore	Assign to Core		Modify region set.	
~MdDelAllPtFace	Delete all parting faces		Delete all parting faces.	
~MdDelAllSegment	Remove all segments		Remove all segments.	
~MdDelPtFace	Delete parting face		Delete parting face.	
~MdDelSegment	Remove segment		Remove segment.	
~MdRegDelItem	Delete		Delete region set.	
~MdRegRenameItem	Rename		Rename region set.	
~MdRegSetCavity	Assign to cavity		Modify region set.	
~MdRegSetCore	Assign to core		Modify region set.	
~PipCvIntPntDel	Delete Point		Delete the interpolation point.	
~PipCvPntG1Del	Delete G1		Delete the tangent condition at this point.	
~PipCvPntG1MagDel	Delete G1 Magnitude		Delete the tangent magnitude at this point.	
~PipCvPntG2Del	Delete G2		Delete the curvature radius condition at this point.	
~PipCvPntG3Del	Delete G3		Delete the flow condition at this point.	
~PipCvPntTanRev	Reverse Tangent Direction		Reverse the tangent direction at this point.	
~PmClearPop(1)	Edit		Edit	
~PmClearPop(11)	Clearances		Edit clearances	You can set the clearances for the default setup frame.
~PmCompPop(10)	Table		Table	
~PmCompPop(11)	Tool Holder		Tool Holder	
~PmCompPop(12)	Attachment		Attachment	
~PmCompPop(13)	Show/Hide		Show/Hide	
~PmCompPop(15)	Update Status		Update Status	
~PmCompPop(16)	Assign To All		Assign this Component to all Operation Definitions.	
~PmCompPop(17)	AutoDetect Features		Automatically detect milling features for this Component.	
~PmCompPop(21)	Add Stock		Insert a stock	
~PmCompPop(24)	Insert Feature Folder		Insert Feature Folder	
~PmCompPop(25)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~PmCompPop(26)	Duplicate Component		Duplicate Component	
~PmCompPop(3)	Set Material		Set Material	
~PmCompPop(4)	Delete		Delete	
~PmCompPop(5)	Edit Component		Edit Component	
~PmCompPop(6)	Edit Class		Edit Class	
~PmCompPop(7)	Part		Part	
~PmCompPop(8)	Clamp		Clamp	
~PmCompPop(9)	Stock		Stock	
~PmDetectPop(11)	Analyze All Tool Paths		Analyze All Tool Paths	
~PmFolderMove(1)	Add into Previous Folder		Add all after previous folder to here into it	
~PmFolderMove(2)	Add into Next Folder		Add all from here to next folder into it	
~PmFolderMove(3)	Remove from First to Here		Remove from first to here	
~PmFolderMove(4)	Remove from Here to Last		Remove from here to last	
~PmFolderMove(5)	Remove This Operation		Remove this Operation	
~PmFolderPop(3)	Add into New Folder		Add into New Folder	
~PmFolderPop(5)	Add into Empty Folder at This Location		Add into empty folder at this location	
~PmFtrOpt(11)	CylBoss		CylBoss	
~PmFtrOpt2(11)	CylBoss		CylBoss	
~PmGeomPop(1)	Insert Component		Insert Component	
~PmGeomPop(11)	Geometry		Insert geometry	Geometry can include parts and assemblies. Parts can be open shells or solid models. Assemblies can include components representing the entire setup including the part to machine, the stock, table, clamps, etc.
~PmGeomPop(2)	Update Status		Update Status	
~PmGeomPop(3)	Delete All		Delete All	
~PmGeomPop(4)	Show All/Hide All		Show All/Hide All	
~PmGeomPop(6)	Assign To All		Assign Part and Stock Components to all Operation Definitions.	
~PmGeomPop(7)	Insert Component Folder		Insert Component Folder	
~PmGeomPop(8)	Toggle Expand/Collapse		Toggle Expand/Collapse	
~PmMachPop(10)	Edit		Edit	
~PmMachPop(11)	Rename		Rename	
~PmMachPop(12)	Delete		Delete	
~PmMachPop(13)	Machine		Edit machine	Define the active machine for all operations in the setup.
~PmMachPop(20)	Machine...		Edit machine definitions	Define and manage CAM machines for use in the active CAM plan and other plans through the use of CAM machine libraries.
~PmMachShow	Machine Manager...		Cam Machine Manager	
~PmOp(101)	Center		Center	The center hole operation is used to provide starting holes for other drilling operations.
~PmOp(102)	Drill		Drill	The drill operation is the primary hole making operation. It is used to drill basic holes.
~PmOp(103)	Peck		Peck drill	The peck-drill operation is a deep drilling method. The drill withdraws to the approach plane after advancing a specified distance into the hole, facilitating chip removal.
~PmOp(104)	Chip		Chip drill	With a chip-break operation, the drill withdraws a specified distance after advancing into the hole to prevent the binding of chips.
~PmOp(105)	Bore		Bore	Use the bore operation to enlarge, finish and accurately locate holes.
~PmOp(106)	Fine bore		Fine bore	With a fine bore operation, the boring bar enters the hole off-center, centers and bores from the bottom of the hole upward, avoiding drag marks along sides of the hole.
~PmOp(107)	Ream		Ream	Use the ream operation for finishing by removing a small amount of material from a pre-drilled hole.
~PmOp(108)	Tap		Tap	Use the tap operation to cut threads in a hole.
~PmOp(109)	Counterbore		Counterbore	Use the counterbore operation to spot-face, making room for the heads of bolts or screws, or to enlarge holes.
~PmOp(110)	Countersink		Countersink	Use the countersink operation to machine a cone shaped enlargement at the top of a hole.
~PmOp(201)	Profile		Profile cut	The profile cut operation cuts any number of open or closed curve boundaries or CAM Components containing geometry profiles. This allows engraving operations or complex patterns to be machined without error.
~PmOp(202)	Spiral		Spiral cut	The spiral cut operation is a facing (area clearance) or pocketing technique, which advances the tool at each depth by proceeding toward or away from the part boundaries.
~PmOp(203)	Box		Box cut	The box cut operation is a facing (area clearance) or pocketing technique, similar to the zigzag cut except the cuts are all in the same direction. The tool is lifted between each cut.
~PmOp(204)	Zigzag		Zigzag cut	The zigzag cut operation is a facing (area clearance) or pocketing technique. It advances the tool at each depth though a sequence of straight parallel cuts, reversing the tool direction at the end of each cut.
~PmOp(205)	Contour		Contour cut	With the contour cut operation, a medial or spine curve is calculated for each cutting zone. Tool movement proceeds in cuts generated parallel or perpendicular to that curve.
~PmOp(206)	Chamfer		Chamfer cut	The Chamfer Cut operation will accept profiles, curves, surfaces or chamfer features. The chamfer feature provides control for Offset, Draft, Depth, Chamfer Side and Spine Curves.
~PmOp(207)	Helical		Helical cut	Use the Helical Cut operation to machine male and female threads.
~PmOp(208)	Ramp		Ramp cut	Ramp Cut toolpaths start at Tool Home Start or pre-drill point. Starting from the top plane, the toolpath then ramps down evenly as determined by the Ramp Angle until it reaches the bottom plane. When the toolpath reaches the bottom plane, a line segment is created to reach Tool Home End.
~PmOp(209)	Corner Round		Corner Round	The Corner Cut operation will accept curves, surfaces and edges as inputs. It does not currently do any further analysis of the surface shape, so it will not automatically extract radius if a fillet like surface is selected.
~PmOp(210)	Topface Cut		Topface cut	The topface cut operation machines all planar faces defined in surfaces or part.
~PmOp(211)	Nesting		Part Nesting	The part nesting operation is used to arrange parts on a plate of material to maximize the number of parts that will fit.
~PmOp(212)	VoluMill2x		VoluMill2x	
~PmOp(213)	Thread		Thread Mill	Use the Thread Mill operation to machine male and female threads.
~PmOp(322)	Surface Engraving		Surface engraving	This is a 3 axis surface engraving operation (i.e., characters on parts). The input requirements for this operation are the surface part and the engraving characters.
~PmOp(501)	Inter Path Move		Inter path move	The Inter Path Move operation is provided so that you can create safe moves when a tool moves between tool paths. The result will be either a 3 axis or 5 axis motion sequence from the end of the previous tool path to the start of the following tool path.
~PmOp3x(301)	Map		Map cut	The map cut operation cuts any number of trimmed surfaces or solids. The cutting motion proceeds in a series of parallel cuts in one or both directions.
~PmOp3x(302)	Side		Side cut	The side cut operation is a 2-1/2 axis tool motion controlled by depth of cut and surface or solid geometry. The tool can ramp from one depth down to the next and the cuts can be sorted based on cutting region or depth.
~PmOp3x(303)	Iso		Iso cut	The iso cut operation uses the isolines (lines of constant U or V parameter value) of individual surfaces to guide the tool contact point. It can produce a very nice surface finish. However, it is NOT a gouge-free tool path.
~PmOp3x(304)	Spiral		Spiral finish	The 3 axis spiral cut operation is an area clearance technique which cuts any number of trimmed surfaces or solids using any number of closed boundaries to enclose the cutting motion.
~PmOp3x(305)	Box		Box finish	The 3 axis box cut operation is an area clearance technique, similar to 3-axis zigzag cut except the cuts are all in the same direction. The tool is lifted between each cut.
~PmOp3x(306)	Zigzag		Zigzag finish	The 3 axis zigzag cut operation is an area clearance technique which cuts any number of trimmed surfaces or solids using any number of closed boundaries to enclose the cutting motion. The tool advances at each depth through a sequence of parallel cuts, reversing the tool direction at the end of each cut.
~PmOp3x(307)	Profile		Profile finish	The 3 axis profile cut operation cuts any number of trimmed surfaces or solids using any number of open or closed curve boundaries to guide the tool centerline.
~PmOp3x(308)	Spiral		Spiral rough	The spiral rough operation is used for the removal of rough stock explicitly defined by profile, surface or solid stock definitions.
~PmOp3x(309)	Box		Box rough	The box rough operation is used for the removal of rough stock explicitly defined by profile, surface or solid stock definitions.
~PmOp3x(310)	Zigzag		Zigzag rough	The zigzag rough operation is used for the removal of rough stock explicitly defined by profile, surface or solid stock definitions.
~PmOp3x(311)	Spiral		Spiral cast	The spiral cast rough operation is used for the removal of implicitly defined stock using thickness values for remaining stock and offsets for stock removal.
~PmOp3x(312)	Box		Box cast	The box cast rough operation is used for the removal of implicitly defined stock using thickness values for remaining stock and offsets for stock removal.
~PmOp3x(313)	Zigzag		Zigzag cast	The zigzag cast rough operation is used for the removal of implicitly defined stock using thickness values for remaining stock and offsets for stock removal.
~PmOp3x(314)	Rest		Rest cut	The rest cut operation removes material remaining after previous milling operations.
~PmOp3x(315)	Pencil Trace		Pencil trace	The pencil trace operation removes material in creases and tight curvature regions on the part. This is useful for both cleanup and from relieving material near steep surfaces in preparation for other milling operations.
~PmOp3x(316)	Scallop Removal		Scallop removal	The scallop removal operation is a 3 axis tool path that requires the input of either a map cut or a side cut reference operation.
~PmOp3x(317)	Contour		Contour finish	With the 3 axis contour cut operation, a medial or spine curve is calculated for each cutting zone. Tool movement proceeds in cuts generated parallel or perpendicular to that curve.
~PmOp3x(318)	Contour		Contour rough	The contour rough operation is used for the removal of rough stock explicitly defined by profile, surface or solid stock definitions.
~PmOp3x(319)	Contour		Contour cast	The Contour Cast Rough Operation is used for the removal of implicitly defined stock using thickness values for remaining stock and offsets for stock removal.
~PmOp3x(321)	Peeling		Peeling cut	The peeling cut operation combines 2-1/2 axis motion in steep areas on the part and 3-axis motion in less steep regions. This improves machining efficiency and surface finish. You have complete control over the cutting pattern for the 3 axis motion.
~PmOp3x(323)	Lace		Finish lace	The lace cut operation is a parallel milling technique controlled by stepping parameters.
~PmOp3x(324)	Z level		Z level	The z level cut (also referred to as side cut) is used to machine steep walls.
~PmOp3x(325)	Drive Curve		Drive curve	The drive curve cut operation is similar to the offset 3D cut that starts from a custom set of curves. The starting curves can be open or closed. In general it is used like the flowing cut for milling along features.
~PmOp3x(326)	Offset 2D		HSM offset 2D	The high speed offset 2D cut operation is used for 2D area clearance.
~PmOp3x(327)	Flow		HSM flow	Multiple CAM profile features can be defined for this operation. Each feature group is considered one span. The curve pick sequence when defining the profile feature is very important for this operation.
~PmOp3x(328)	Lace		HSM lace	This is a more advanced version of the lace cut operation suited for high speed machining.
~PmOp3x(329)	Offset 3D		Finish offset 3D	The offset 3D cut operation is used when a smooth and continuous tool path is required in the part.
~PmOp3x(330)	Pencil		Pencil cut	The pencil cut operation is used to clear corners as a follow up to other QuickMilling operations.
~PmOp3x(331)	Lace		Rough lace	The rough lace cut operation is a parallel milling technique controlled by stepping parameters. It is used for the removal of explicitly defined rough stock.
