comando	label_ribbon	form_dialogo	hint	descrizione
!WrMdPtn	Pattern	WrMdPtn	Pattern array	
!WrMdRot2D	Rotate	WrMdRot2D	Rotate entities	Rotate a entity (E) about a reference point (P).
!WrMdScl2D	Scale	WrMdScl2D	Scale entities	Select the entities (E) and specify the base point (P) for scaling. You can select the type of scaling: Factor or 2 Points. And the method of scaling
!WrMdScl3D	Scale	WrMdScl3D	Scale entities	
!WrMdShrExt	Trim/Extend	WrMdShrExt	Extend or trim curve(s)	Select the curves (C) to trim or extend. Then select a destination point (P) or curve to trim or extend to or enter an extension length.
!WrMdStrch	Stretch	WrMdStrch	Stretch critical points	First, window critical points to stretch. Then specify points to stretch from and to stretch to.
!WrMdSym2D	Mirror geometry	WrMdSym2D	Mirror geometry	
!WrMdTrmBnd	Trim/Split Curve	WrMdTrmBnd	Trim/break curves	Select the boundary Curves to split or trim to. Then select the curve Segments to delete, keep, or split.
!WrMdTrmPnt	Trim/Split at Point	WrMdTrmPnt	Split/trim a curve	You can select multiple segments to keep or just split the curve. Select a curve (C) to trim or break, trim/break points (P) on or near the curve and the segments (L) to keep or middle-click to split the curve.
!WrNotch2d	Notch	WrNotch2d	Make a notch on curve	Select a Curve (C) to locate the notch on. Specify the base point location (P1), direction angle (specify P2), height (H), and the shape angle (A) of the notch.
!WrSmtDraw2D	Draw	WrSmtDraw2D	Create 2D connected curves	Draw a variety of geometry types.  You can draw lines, tangent arcs, 3 point arcs, radius arcs, circles, and curves.
!WrSplitSelfX	Split at Intersections	WrSplitSelfX	Split Curves at Self-Intersections	Select all the curve segments and then to split them.
!pvReplace2	Replace	pvReplace2	2D PARTreplace	Open the PARTsolutions PARTdataManager application for replacing a layout view in the active ZW3D drawing sheet with a 2D view of a PARTsolutions component.
$Another	Start Another ZW3D		Launch another instance of ZW3D	Start another instance of ZW3D on the same computer at the same time.  This can be helpful if you need to compare two ZW3D parts, assemblies, drawing sheets, etc. side by side.
$CdAbout	About		Information about this version of ZW3D software	
$CdAnimKeyDel	Delete Key Frame		Delete key frame	Delete key frame
$CdAnimParamDel	Delete parameter		Delete parameter	Delete parameter
$CdAnimValUnSet	Clear value		Clear value of parameter	Clear value of parameter
$CdAsmFtrRegenAll	Regen Assembly		Regen Assembly	Regenerate all assembly features
$CdAsmModeLinkFilesChkUpd	Encapsulate Old Assembly Files		Encapsulate all old assembly mode files	Encapsulate all the assembly files associated with the current file contain objects of the old assembly mode to update their old assembly mode.
$CdCancelExit	Cancel		Cancel	Cancel the currently active object.
$CdChnPickNw	Pick Curves		Pick Curves	
$CdChnPickPNw	Pick Curves		Pick Curves	
$CdCui	Customize...		Customize	
$CdDelAcisData	Delete the imported graphic data		Delete the imported graphic data	
$CdDimNameOff	Dimension Values		Display dimension values	
$CdDimNameOn	Dimension Names		Display dimension names	
$CdDimNameOnBoth	Expressions		Display both dimension names and values	
$CdDispAnalyze	Analyze		Analyze	This mode performs a spherical environment map of texture. You can determine characteristics of the surface depending on the visible results of the reflection.
$CdDispC2ColorCode	Always display color code on/off		In sketch, always display the state code of geometry and constraints or not.	Display color code.
$CdDispCentrArcCirc	Show Center		Show center of arc/circle	Center of Arcs or Circles are shown in sketches.
$CdDispClosedRing				
$CdDispComb	Combination		Combination	This display mode is used for assemblies when you want to display components in different display modes.  This can help enhance the display of certain assembly conditions and/or configurations.
$CdDispDashTgl	Show/Remove Dashed Hidden Lines		Show dashed hidden lines	This command serves as a toggle.  It works in Shaded, Analyze, Hidden and Section Display Modes. You can now select hidden (dashed) objects while in this display mode.
$CdDispEdgeMode	Display Edges in Shaded Mode		Toggle disp of edges	
$CdDispExtDatum	External Datums On/Off		Turn display of external datums on/off	External datums are shown using dashed lines to reduce screen clutter.
$CdDispGhostFaces	Display Ghost Faces On/Off		Display Ghost Faces On/Off	
$CdDispHLHiddenLines	Show/Remove Highlight Hidden Lines		Show highlight hidden lines	This command serves as a toggle.
$CdDispHide	Hidden Line		Hidden Line	All hidden lines and only edges are displayed. Like shaded mode, only visible faces will highlight when the cursor moves over them. Again, press and hold the (Alt) key to highlight and select faces that are hidden from view.
$CdDispMode	DispMode		DispMode	
$CdDispModeTog	Toggle Wire and Shade Mode		toggle wire and shade mode	
$CdDispOpenEnds	Display open ends on/off		Turn display of open ends on/off	Open ends are shown or not.
$CdDispPMI	Display PMI		Enable/disable to display PMI entities.	
$CdDispSect	Section		Section	The part is displayed based on the options selected during the Part Section View command.
$CdDispShade	Shade		Shade	Hidden lines are removed and visible surfaces are shaded. Only visible faces will highlight when the cursor moves over them. Press and hold the (Alt) key to highlight and select faces that are hidden from view.
$CdDispWire	Wireframe		Wireframe	All curve, surface, and solid edges are displayed and viewed directly.
$CdDispXYAxis	Display default XY Axis ON/OFF		Display default XY Axis ON/OFF	Toggle the display of default XY Axis at the sketch level.
$CdDisplay	Display		Turn display update on/off	All redraws (from dynamic viewing, layer management, redraw command, etc.) are disabled when the display is toggled off. This command can be used while working with large models.
$CdDwgBorder	Drawing Border		Turn drawing border on/off	
$CdDwgCon	Construction Geometry ON/OFF		Construction geometry ON/OFF	Toggle the display of construction geometry at the sketch and drawing sheet levels. While this icon is turned on (depressed), all geometry created will be designated as construction geometry.
$CdDynPreview	Dynamic Preview		Turn dynamic preview on/off	For some 3D block entities such as large point clouds and imported STL data, the dynamic preview echo can drag system performance considerably.
$CdEdgeVrtx	Get Vertex Edges		Get edges of a specific vertex	
$CdEditAloneFtr	Redefine		Redefine feature	Redefine the alone feature.
$CdEditParent	Exit		Exit	Exit the currently active object.
$CdFaceRegionNw	Pick Faces		Pick Faces	
$CdFaceShp	Get Shape Faces		Get faces of a specific shape	
$CdFileConvert	Multi-Export		Export multiple file formats at one time	Export a ZW3D model to various file formats at one time, such as IGES, STEP, STL, Catia, etc.
$CdFileExport	Export		Export non-native data	Export ZW3D objects (e.g., parts, sketches, and drawing sheets) to other industry standard formats such as IGES, STEP, DWG, HTML, VRML, etc.
$CdFileImport	Import		Import non-native data	Import non-ZW3D files types such as IGES, STEP, DWG, etc. into ZW3D as parts, sketches, or drawing sheets.
$CdFileInMulti	Multi-Import		Multi-Import 3rd format files	Multi-Import 3rd format files( ACIS, Catia V4, Catia V5, UG/NX, ProE/Creo, Inventor, SolidEdge and SolidWorks) and auto save these files.
$CdFileIopView	Quick Import		Quick view the graphical data	Quick view the graphical data of non-ZW3D files types such as NX, ProE, Catia V5, Inventor etc. into ZW3D.
$CdFileMergeBnd	Import Attribute Bundles		Import attribute bundles	
$CdFileNew	New		Create a new ZW3D object file	
$CdFileOpenInCAD	ZWCAD		Open it with ZWCAD.EXE.	
$CdFileOpenInCAD_2D	Dimension in ZWCAD		Dimension the drawing in ZWCAD	Transfer the 2D sheet to DWG format and then you can add the dimensions or edit the drawing in ZWCAD.
$CdFileOpenInCAD_Top	ZWCAD		Open ZWCAD	A powerful, reliable and DWG compatible CAD solution.
$CdFilePack	Pack		Pack up the files.	
$CdFileReload	Reload File		Reload file	Reload File.
$CdFileSTLImport	Import STL		Import STL File	Import STL file into ZW3D as parts.
$CdFileSave	Save		Save	
$CdFileSaveAs	Save As...		Save as specified file	
$CdFileSeparate	File Separate		Separate multi-root files into single-root files	Separate multi-root files into single-root files.
$CdFileSwitchPerm	Switch File Permission		Switch the file permission	Switch the file permission.
$CdFileTarget	Object File		Export multiple file formats at one time	Export a ZW3D model to various file formats at one time, such as IGES, STEP, STL, Catia, etc.
$CdFileTemplate	Templates...		Create/Edit ZW3D object template file	You can use all of the object related functions on template files just like any other ZW3D file. You can create a new object based on a template by selecting the template file from the "Template" section of the New File/Object Form.
$CdFilter	Entity Filter (Shift+RMB)		Entity filter	Pick filters are used to limit selectable entities to a specific type. If many entities overlap or are close together, using the proper pick filter will make selecting the right entity easier.
$CdFixUid	Check History ID&apos;s		Find and fix duplicate history ID&apos;s	This utility checks for, and corrects, cases when history operations get generated with the same unique id.
$CdFsetAct	Activate Parent		Activate parent part or feature-set	
$CdFsetInq	Inquire		Inquire	
$CdFsetRef	Create Ref-Geom		Create reference geometry	
$CdGRLoadModel	Load Current Model		Load current model	
$CdGridLine	Grid Line		Toggle grid line on	
$CdGridOff	Grid Off		Toggle grid off	
$CdGridPoint	Grid Point		Toggle grid point on	
$CdHandles	Assem Handle		Define assembly constraint handle	
$CdHelp	Help Browser		Display help browser	
$CdHelpOnline	Online Help Browser		Display online help browser	
$CdHelpOnlineSet	Online Help Browser		Display online help browser	
$CdHelpSet	Help Browser		Display help browser	
$CdHistCloseAll	Close All Items		Open/Close All History Items	
$CdHistEdit	Redefine		Redefine feature	Rollback the active part history to a feature and modify it.
$CdHistEditNoRollback	Edit Feature		Edit feature	Edit feature&apos;s parameters.
$CdHistFtrset	Insert Feature-set		Insert a new feature-set	
$CdKnowledge	Online Knowledge Base		Online Knowledge Base	
$CdLabel	Labels		Turn display of entity labels on/off	As new entities are created, labels (similar to name tags) are generated. When label are toggled on, they are displayed as the cursor passes over and highlights and entity.
$CdLegacyFileConvert	Convert Legacy Files		Convert legacy files into new files	Convert legacy files into new files.
$CdLoadAcisBrep	Load model		Load model	
$CdManager	ZW3D Manager...		ZW3D Manager	The CAM Plan Manager is the primary interface for ZW3D CAM. The graphical tree interface contains each section required to define and output tool path operations within a CAM setup.
$CdMdMir2D	Mirror		Mirror	Select the entities (E) to mirror and then select the line (M) of symmetry.
$CdModelImport	Model Import		Heterogeneous data conversion with parameter	A powerful, reliable heterogeneous data conversion plugin.
$CdPMIRegenAll	Regen PMI		Regen all PMI entities	
$CdPMIRegenLock	Regen PMI Manually		Lock/Unlock regen PMI.	
$CdPartCAM	CAM Plan		CAM Plan	
$CdPartSheet	2D Sheet		2D Sheet	
$CdPickEdit	Edit Picks		Edit Picks	
$CdPlayAuto5	Regen History		Regen history and suppress failed operations automatically	
$CdPlayAutoAut	Regen		Regen outdated object	Regenerate all the outdated objects including history,assembly feature or assembly alignment etc.
$CdPlayAutoHist	Regen History		Regen current object automatically	Regenerate the active part history re-evaluating each feature.
$CdPlayAutoSupp	Continue to End		Continue to End	
$CdPlayDel	Delete		Delete The Operation	
$CdPlayDelAny	Delete		Delete The Operation	
$CdPlayEdit	Edit		Edit The Operation	
$CdPlayEnd	Delete Unplayed Features		Delete Unplayed Features	
$CdPlayIns	Relocate		Relocate The Sketch	
$CdPlayLast	Redefine Last		Redefine Last	Use this command to quickly edit the last feature in the active part history.
$CdPlayRef	Regen Ext Ref		Start external reference replay	It is used to replay, edit or delete external references that you have added to the active sketch.
$CdPlayUnLink	Unlink		Unlink The Operation	
$CdPntAltPick	Pick from List		Pick from list	
$CdPolyPick	Poly Pick		Poly Pick	
$CdPopupGallery	Popup Gallery		Popup gallery	Provide popup gallery for call other command conveniently.
$CdPrfClrStg	Constraint Color	UiPrfClrStg	Set constraint color	
$CdPrfRegenRef	Ext Reference Manager	UiPrfRegenRef	Open external reference manager	It is used to regen, edit, unlink or delete external references that you have added to the active sketch.
$CdPrfRelocate	Relocate		Relocate sketch	
$CdPrjClear	Clear Session		Clear session edits and backup	
$CdPrjClear2	Close All		Close all files	
$CdPrjCloseFile	Close		Close active file	
$CdPrjDelete	Delete Session		Delete a session	
$CdPrjOpen	Open Session		Open a session	
$CdPrjQuit	Exit		Shutdown ZW3D	
$CdPrjReset	Restore Last Backup		Reset session to last backup	
$CdPrjSave	Backup Session		Backup the current session	
$CdPrjSaveAll	Save All		Save all modified files	
$CdPrjSaveAs	Save Session As		Save the current session with a new name	
$CdPrjSync	Synchronize Files		Synchronize session with modified source files	
$CdProfSolveAut	Solve Current Sketch Automatically		Solve current sketch automatically	
$CdProfSolveMan	Solve Current Sketch Manually		Solve current sketch manually	
$CdProfWeakDim	Add Weak Dimensions Automatically		Add Weak Dimensions Automatically	
$CdPropWrapper	Properties...		File properties	
$CdQuickPick	Pick from List		Pick from List	
$CdQuickTips	Quick Tips...		Display startup tutorial	
$CdRdSk	$CdRdSk			
$CdRdSk=RS002	4 tangent Arc Slot		4 tangent arc slot	Quickly add ReadySketch 4 Tangent Arc Slot geometry to the active sketch.
$CdRdSk=RS003	Height X Width Arc		Height X width arc	Quickly add ReadySketch Height X width arc geometry to the active sketch.
$CdRdSk=RS006	Circle		Circle	Quickly add ReadySketch Circle geometry to the active sketch.
$CdRdSk=RS007	Concentric Circles		Concentric circles	Quickly add ReadySketch Concentric Circles geometry to the active sketch.
$CdRdSk=RS008	Vertical Conic		Vertical conic	Quickly add ReadySketch Vertical Conic geometry to the active sketch.
$CdRdSk=RS009	Horizontal Conic		Horizontal conic	Quickly add ReadySketch Horizontal Conic geometry to the active sketch.
$CdRdSk=RS010	Spiral		Spiral	Quickly add ReadySketch Spiral geometry to the active sketch.
$CdRdSk=RS011	Ellipse		Ellipse	Quickly add ReadySketch Ellipse geometry to the active sketch.
$CdRdSk=RS012	Rotated Ellipse		Rotated ellipse	Quickly add ReadySketch Rotated Ellipse geometry to the active sketch.
$CdRdSk=RS013	Rectangle		Rectangle	Quickly add ReadySketch Rectangle geometry to the active sketch.
$CdRdSk=RS015	Rotated Rectangle		Rotated rectangle	Quickly add ReadySketch Rotated Rectangle geometry to the active sketch.
$CdRdSk=RS016	Chamfered Rectangle		Chamfered rectangle	Quickly add ReadySketch Chamfered Rectangle geometry to the active sketch.
$CdRdSk=RS017	Radiused Rectangle		Radiused rectangle	Quickly add ReadySketch Radiused Rectangle geometry to the active sketch.
$CdRdSk=RS018	Square		Square	Quickly add ReadySketch Square geometry to the active sketch.
$CdRdSk=RS019	Rotated Square		Rotated square	Quickly add ReadySketch Rotated Square geometry to the active sketch.
$CdRdSk=RS020	Chamfered Square		Chamfered square	Quickly add ReadySketch Chamfered Square geometry to the active sketch.
$CdRdSk=RS021	Radiused Square		Radiused square	Quickly add ReadySketch Radiused Square geometry to the active sketch.
$CdRdSk=RS022	L Section		L section	Quickly add ReadySketch L Section geometry to the active sketch.
$CdRdSk=RS023	Equal sided L Section		Equal sided L section	Quickly add ReadySketch Equal Sided L Section geometry to the active sketch.
$CdRdSk=RS024	T Section		T section	Quickly add ReadySketch T Section geometry to the active sketch.
$CdRdSk=RS025	U Section		U section	Quickly add ReadySketch U Section geometry to the active sketch.
$CdRdSk=RS026	Double U Section		Double U section	Quickly add ReadySketch Square geometry to the active sketch.
$CdRdSk=RS027	Box Section		Box section	Quickly add ReadySketch Box Section geometry to the active sketch.
$CdRdSk=RS028	Radiused box Section		Radiused box section	Quickly add ReadySketch Radiused Box Section geometry to the active sketch.
$CdRdSk=RS029	+ Section		+ section	Quickly add ReadySketch + Section geometry to the active sketch.
$CdRdSk=RS030	Radiused + Section		Radiused + section	Quickly add ReadySketch Radiused + section geometry to the active sketch.
$CdRdSk=RS031	Pentagon		Pentagon	Quickly add ReadySketch Pentagon geometry to the active sketch.
$CdRdSk=RS032	Hexagon		Hexagon	Quickly add ReadySketch Hexagon geometry to the active sketch.
$CdRdSk=RS033	Octagon		Octagon	Quickly add ReadySketch Octagon geometry to the active sketch.
$CdRdSk=RS034	Radiused Equilateral Triangle		Radiused equilateral triangle	Quickly add ReadySketch Radiused Equilateral Triangle geometry to the active sketch.
$CdRdSk=RS035	Bottom Equilateral Triangle		Bottom equilateral triangle	Quickly add ReadySketch Bottom Equilateral Triangle geometry to the active sketch.
$CdRdSk=RS036	Equilateral Triangle		Equilateral triangle	Quickly add ReadySketch Equilateral Triangle geometry to the active sketch.
$CdRdSk=RS037	Rotated Equilateral Triangle		Rotated equilateral triangle	Quickly add ReadySketch Rotated Equilateral Triangle geometry to the active sketch.
$CdRdSk=RS038	Isoceles Triangle		Isoceles triangle	Quickly add ReadySketch Isoceles Triangle geometry to the active sketch.
$CdRdSk=RS039	Rotated Isoceles Triangle		Rotated isoceles triangle	Quickly add ReadySketch Octagon geometry to the active sketch.
$CdRdSk=RS040	Right Angle Triangle		Right angle triangle	Quickly add ReadySketch Right Angle Triangle geometry to the active sketch.
$CdRdSk=RS041	Rotated Right Angle Triangle		Rotated right angle triangle	Quickly add ReadySketch Rotated Right Angle Triangle geometry to the active sketch.
$CdRdSk=RS042	Slot		Slot	Quickly add ReadySketch Slot geometry to the active sketch.
$CdRdSk=RS043	Rotated Slot		Rotated slot	Quickly add ReadySketch Rotated Slot geometry to the active sketch.
$CdRdSk=RS044	Fastener Slot		Fastener slot	Quickly add ReadySketch Fastener Slot geometry to the active sketch.
$CdRdSk=RS045	Beading Slot		Beading slot	Quickly add ReadySketch Beading Slot geometry to the active sketch.
$CdRdSk=RS046	Tear Slot		Tear slot	Quickly add ReadySketch Tear Slot geometry to the active sketch.
$CdRdSk=RS048	Toolplate		Toolplate	Quickly add ReadySketch Toolplate geometry to the active sketch.
$CdRdSk=RS049	Pin		Pin	Quickly add ReadySketch Pin geometry to the active sketch.
$CdRdSk=RS050	Nut		Nut	Quickly add ReadySketch Nut geometry to the active sketch.
$CdRdSk=RS052	Arc Slot		Arc slot	Quickly add ReadySketch Arc Slot geometry to the active sketch.
$CdRdSk=RS053	Kidney Slot		Kidney slot	Quickly add ReadySketch Kidney Slot geometry to the active sketch.
$CdRdSk=RS054	Symmetrical Kidney Slot		Symmetrical kidney slot	Quickly add ReadySketch Symmetrical Kidney Slot geometry to the active sketch.
$CdRdSk=RS057	Comb Section		Comb section	Quickly add ReadySketch Comb Section geometry to the active sketch.
$CdRdSk=RS058	Corrugated Section		Corrugated section	Quickly add ReadySketch Corrugated Section geometry to the active sketch.
$CdRdSk=RS059	Arrow		Arrow	Quickly add ReadySketch Arrow geometry to the active sketch.
$CdRdSk=RS060	Arrow2		Arrow2	Quickly add ReadySketch Arrow2 geometry to the active sketch.
$CdRdSk=RS061	Pac Slot		Pac slot	Quickly add ReadySketch Pac Slot geometry to the active sketch.
$CdRdSk=RS062	Euro Slot		Euro slot	Quickly add ReadySketch Euro Slot geometry to the active sketch.
$CdRdSk=RS063	Food Use		Food use	Quickly add ReadySketch Food Use geometry to the active sketch.
$CdRdSk=RS064	No Food		No food	Quickly add ReadySketch No Food geometry to the active sketch.
$CdRdSk=RS065	Microwave Safe		Microwave safe	Quickly add ReadySketch Microwave Safe geometry to the active sketch.
$CdRdSk=RS066	Do not Microwave		Do not microwave	Quickly add ReadySketch Do Not Microwave geometry to the active sketch.
$CdRdSk=RS067	Dishwasher Safe		Dishwasher safe	Quickly add ReadySketch Dishwasher Safe Geometry to the active sketch.
$CdRdSk=RS068	Not Dishwasher Safe		Not dishwasher safe	Quickly add ReadySketch Not Dishwasher Safe geometry to the active sketch.
$CdRdSk=RS069	Immersible		Immersible	Quickly add ReadySketch Immersible geometry to the active sketch.
$CdRdSk=RS070	Do not Immerse		Do not immerse	Quickly add ReadySketch Do Not Immerse geometry to the active sketch.
$CdRdSk=RS071	Recycle		Recycle	Quickly add ReadySketch Recycle geometry to the active sketch.
$CdRdSk=RS072	PET		PET	Quickly add ReadySketch PET geometry to the active sketch.
$CdRdSk=RS073	HDPE		HDPE	Quickly add ReadySketch HDPE geometry to the active sketch.
$CdRdSk=RS074	PVC		PVC	Quickly add ReadySketch PVC geometry to the active sketch.
$CdRdSk=RS075	LDPE		LDPE	Quickly add ReadySketch LDPE geometry to the active sketch.
$CdRdSk=RS076	PP		PP	Quickly add ReadySketch PP geometry to the active sketch.
$CdRdSk=RS077	PS		PS	Quickly add ReadySketch PS geometry to the active sketch.
$CdRdSk=RS078	Other		Other	Quickly add ReadySketch Other geometry to the active sketch.
$CdRdSk=RS084	Cross Lattice		Cross lattice	Quickly add ReadySketch Cross lattice geometry to the active sketch.
$CdRdSk=RS085	Slant Lattice		Slant lattice	Quickly add ReadySketch Slant lattice geometry to the active sketch.
$CdRdSk=RS086	Wave Lattice		Wave lattice	Quickly add ReadySketch Wave lattice geometry to the active sketch.
$CdRdSk=RS091	3 Hole PCD		3 hole PCD	Quickly add ReadySketch 3 Hole PCD geometry to the active sketch.
$CdRdSk=RS092	4 Hole PCD		4 hole PCD	Quickly add ReadySketch 4 Hole PCD geometry to the active sketch.
$CdRdSk=RS093	5 Hole PCD		5 hole PCD	Quickly add ReadySketch 5 Hole PCD geometry to the active sketch.
$CdRdSk=RS094	6 Hole PCD		6 hole PCD	Quickly add ReadySketch 6 Hole PCD geometry to the active sketch.
$CdRdSk=RS095	8 Hole PCD		8 hole PCD	Quickly add ReadySketch 8 Hole PCD geometry to the active sketch.
$CdRdSk=RS096	10 Hole PCD		10 hole PCD	Quickly add ReadySketch 10 Hole PCD geometry to the active sketch.
$CdRdSk=RS101	2 X 1 Hole Pattern		2 X 1 hole pattern	Quickly add ReadySketch 2 X 1 Hole Pattern geometry to the active sketch.
$CdRdSk=RS102	3 X 1 Hole Pattern		3 X 1 hole pattern	Quickly add ReadySketch 3 X 1 Hole Pattern geometry to the active sketch.
$CdRdSk=RS103	4 X 1 Hole Pattern		4 X 1 hole pattern	Quickly add ReadySketch 4 X 1 Hole Pattern geometry to the active sketch.
$CdRdSk=RS104	5 X 1 Hole Pattern		5 X 1 hole pattern	Quickly add ReadySketch 5 X 1 Hole Pattern geometry to the active sketch.
$CdRdSk=RS105	2 X 2 Hole Pattern		2 X 2 hole pattern	Quickly add ReadySketch 2 X 2 Hole Pattern geometry to the active sketch.
$CdRdSk=RS106	3 X 2 Hole Pattern		3 X 2 hole pattern	Quickly add ReadySketch 3 X 2 Hole Pattern geometry to the active sketch.
$CdRdSk=RS107	4 X 2 Hole Pattern		4 X 2 hole pattern	Quickly add ReadySketch 4 X 2 Hole Pattern geometry to the active sketch.
$CdRdSk=RS108	5 X 2 Hole Pattern		5 X 2 hole pattern	Quickly add ReadySketch 5 X 2 Hole Pattern geometry to the active sketch.
$CdRdSk=RS109	2 X 3 Hole Pattern		2 X 3 hole pattern	Quickly add ReadySketch 2 X 3 Hole Pattern geometry to the active sketch.
$CdRdSk=RS110	3 X 3 Hole Pattern		3 X 3 hole pattern	Quickly add ReadySketch 3 X 3 Hole Pattern geometry to the active sketch.
$CdRdSk=RS111	4 X 3 Hole Pattern		4 X 3 hole pattern	Quickly add ReadySketch 4 X 3 Hole Pattern geometry to the active sketch.
$CdRdSk=RS112	5 X 3 Hole Pattern		5 X 3 hole pattern	Quickly add ReadySketch 5 X 3 Hole Pattern geometry to the active sketch.
$CdRdSk=RS189	I Section		I Section	Quickly add ReadySketch I Section geometry to the active sketch.
$CdRedo	Redo		Redo	
$CdRedraw	Redraw		Redraw display	Redraw the current display without regenerating the active object.
$CdRedrawAll	Redraw		Redraw display	Redraw the current display without regenerating the active object.
$CdRefreshTreeOnRegen	Refresh Tree on Regen		Enable updating history tree when click Regen	
$CdRegenCurves	Auto Refine Curves		Turn auto refine of curves on/off	When on, curves will display more true to their actual form. Turning this off during large assemblies will help speed up display functions.
$CdRelocate	Relocate		Relocate	Prompt for a new insertion plane for the next sketch, datum or component operation.
$CdResetWindow	Reset Window Layout		Reset Window Layout	
$CdRollBack	Rollback		Rollback	Rollback the active part history to the feature just prior to a selected feature. The selected feature can then be deleted or otherwise modified.
$CdRootExport	Export	CdRootExport	Export non-native data	Export ZW3D objects (e.g., parts, sketches, and drawing sheets) to other industry standard formats such as IGES, STEP, DWG, HTML, VRML, etc.
$CdRootExport2	Export		Export non-native data	Export ZW3D objects (e.g., parts, sketches, and drawing sheets) to other industry standard formats such as IGES, STEP, DWG, HTML, VRML, etc.
$CdRootObjSearch	Search Root Object		Search root object	
$CdRotCenterAuto	Auto		Auto center	Change space ball rotation center type to "Auto"
$CdRotCenterExtent	Extent Center		Extent center	Change space ball rotation center type to "Extent Center"
$CdRotCenterMousePos	Mouse Position		Mouse position center	Change space ball rotation center type to "Mouse Position"
$CdRotCenterVuOrg	View Origin		View origin center	Change space ball rotation center type to "View Origin"
$CdScopeAll	Show All		Show all	Add all levels of parent objects and all of their children (components, sketches, etc.) located in the active part to the display.
$CdScopeLess	Show Less		Show Less	Remove the current level of parent objects and all of their children (components, sketches, etc.) from the display.
$CdScopeMore	Show More		Show More	Add the next level of parent objects and all of their children in the active part (components, sketches, etc.) to the display.
$CdScopeTarg	Show Target		Show Target	Display the active object with all of its children (components, sketches, etc.).
$CdSetStep	Step Size		Step size	Use the Step Size Button to increase or decrease the numerical step applied when the Increment and Decrement Buttons are picked.
$CdSettings	Preferences		Current preference settings	
$CdSfReduceAll	Reduce NURBS		NURBS data reduction	
$CdSketchPts	Sketch Points		Sketch points	
$CdSmdRegenAll	Regen All Flat		Regen all sheet metal flat items	
$CdSmdRegenEn	Regen Automatically		Regen sheet metal automatically	
$CdSnapFilter	Snap Filter		Snap filter	Snap filters are used to limit smart picking constraints to a specific type.
$CdStartFolderMgr	User Folder Manager		Open the User Folder Manager	
$CdStartTcmdEditor	Tcmd Editor		Start Tcmd Editor	
$CdSwapCns	Turn Constraints On/Off		Turn constraints on/off	
$CdSwapDim	Turn Dimensions On/Off		Turn dimensions on/off	
$CdSwapLite	Toggle		Toggle light source markers	
$CdSwapMagLine	Turn Magnetic Line On/Off		Turn magnetic line on/off	
$CdSwapPmi	Turn PMI On/Off		Turn pmi on/off	
$CdTogGrid	Grid		Toggle grid on/off	
$CdTogPersp	Perspective		Toggle perspective on/off	
$CdUndo	Undo		Undo	
$CdUnitConvert	Units Converter		Units converter	
$CdWinPickMode	Window Pick		Window Pick	
$CdWorkFolder	Working Folder		Change Working Folder	
$CdZwAppLm	License Manager		Open the License Manager	
$CldFileSaveToCloud	Save to Cloud		Save as specified file	Select cloud path to save current file
$CloseUnusedFiles	Close Unused Files		Close unused files	
$DmLinBas	Baseline		Create a baseline dimension	
$DmLinCnt	Continuous		Create a continuous dimension	
$DmLinOrd	Ordinate		Create an ordinate dimension	
$NewObj=121	Equation Set		Create a new equation-set	
$NewObj=200	CAM Plan		Create a new CAM plan	
$NewObj=70	Sketch		Create a new sketch	
$NewObj=89	Part/Assembly		Create a new part/assembly	
$NewObj=90	Drawing Sheet		Insert a new sheet	
$SF=AnimBandAnalTestTool	Band Analysis Test Tool		Band analysis test tool.	Band analysis test tool.
$SF=AnimEditKfrmTime	Edit Time		Edit keyframe time	Edit keyframe time
$SF=AnimModAlnParam	Modify Parameters		Modify parameters	Modify parameters
$SF=AnimModMotParam	Modify Parameter		Modify motor parameter	Modify motor parameter
$SF=AnimMotorRename	Rename		Rename Motor	Rename motor
$SF=AnimMotorScale	Display Scale		Motor scale	Motor scale
$SF=AnimRowScale	Scale Duration		Scale duration	Scale duration
$SF=AsInqAlnStat	Constraint Status		Inquire constraint status	
$SF=AsmPickParentList	Pick Parent Object	AsmPickParentList	Pick parent object	Pick parent object.
$SF=Cd3DBomRenameCol	Rename		Rename column name	
$SF=CdAutoStockSize	Auto Stock Size		Calculate the stock size automatically	Calculate the stock size of the selected part automatically.
$SF=CdC2ConfCnsDmMgr	Conflicting Constraints		Manage conflicting constraints	Delete conflicting constraints and dimensions. Toggle conflicting dimensions to reference dimensions.
$SF=CdC2InqStat	Constraint Status		Inquire constraint status	
$SF=CdDrawingNotes	Notes		Edit notes	
$SF=CdPlnHiAnalzRes	Height Analysis Result		Height Analysis Result	
$SF=CdShowOnlyStatus	Show Only Status	CdShowOnlyStatus	Show only status	
$SF=CdStyleMgr	Style Manager...		Standard and Style manager	
$SF=CdmFileRecover	File Recovery			
$SF=CmConfigEditor	Opdef Config...		Cam Opdef Config...	
$SF=CmConfigUpdate	Update Cam Config		Update Cam Config File	
$SF=CmTaskScheduler	Cam Task Scheduler		Cam Task Scheduler	
$SF=CmVxQmBatchMgr	QM Batch Import		QM Batch Import	
$SF=TpathOptions	Color Preferences...		Current preference settings	
$SF=Ui3DBom	3D BOM		Show 3D BOM	Show BOM(bill of material) table of all the components of the assembly parts.
$SF=UiAppMgr	Application Manager		Open Application Manager	
