funzione	header	riga	deprecated	firma
ZwCamFrameClearanceZSet	zwapi_cm_frame.h	71		ezwErrors ZwCamFrameClearanceZSet(int frameIdx, double clearanceZ)
ZwCamFrameFixtureOffsetGet	zwapi_cm_frame.h	86		ezwErrors ZwCamFrameFixtureOffsetGet(int frameIdx, szwCamFrameFixtureOffset *fixtureOffset)
ZwCamFrameFixtureOffsetSet	zwapi_cm_frame.h	83		ezwErrors ZwCamFrameFixtureOffsetSet(int frameIdx, szwCamFrameFixtureOffset fixtureOffset)
ZwCamFrameNameGet	zwapi_cm_frame.h	68		ezwErrors ZwCamFrameNameGet(int frameIdx, char *str, int strSize)
ZwCamFrameNameSet	zwapi_cm_frame.h	65		ezwErrors ZwCamFrameNameSet(int frameIdx, const char *str)
ZwCamFrameVisibilityGet	zwapi_cm_frame.h	92		ezwErrors ZwCamFrameVisibilityGet(int idx_frame, int *state)
ZwCamFrameVisibilitySet	zwapi_cm_frame.h	89		evxErrors ZwCamFrameVisibilitySet(int idx_frame, int state)
ZwCamFtrElementEntListGet	zwapi_cm_ftr.h	246		ezwErrors ZwCamFtrElementEntListGet(int featIdx, int *elementCnt, szwEntityHandle **elementEntList)
ZwCamFtrElementListGet	zwapi_cm_ftr.h	243		ezwErrors ZwCamFtrElementListGet(int feat_idx, int *elementCnt, int **elementIdxList)
ZwCamFtrGrpFeatListGet	zwapi_cm_ftr.h	237		ezwErrors ZwCamFtrGrpFeatListGet(int idx_ftrgrp, int *featCnt, int **featIdxList)
ZwCamFtrGrpInqCmcompIdx	zwapi_cm_ftr.h	316		ezwErrors ZwCamFtrGrpInqCmcompIdx(int idxFtrGrp, int *idxCmcomp)
ZwCamFtrGrpInqCompIdx	zwapi_cm_ftr.h	313		ezwErrors ZwCamFtrGrpInqCompIdx(int idxFtrGrp, int *idxComp)
ZwCamFtrGrpNameGet	zwapi_cm_ftr.h	229		ezwErrors ZwCamFtrGrpNameGet(int ftrgrpIdx, char *str, int strSize)
ZwCamFtrGrpProfClassGet	zwapi_cm_ftr.h	304		ezwErrors ZwCamFtrGrpProfClassGet(int ftrgrp_idx, ezwCamFtrProfileClass *profClass)
ZwCamFtrGrpProfClassSet	zwapi_cm_ftr.h	299		ezwErrors ZwCamFtrGrpProfClassSet(int ftrgrp_idx, ezwCamFtrProfileClass profClass)
ZwCamGetToolHomeEndPos	zwapi_cm_op.h	193		ezwErrors ZwCamGetToolHomeEndPos(int idx_op, szwPoint *pEnd)
ZwCamGetToolHomeStartPos	zwapi_cm_op.h	190		ezwErrors ZwCamGetToolHomeStartPos(int idx_op, szwPoint *pStart)
ZwCamHoleFeatDataGet	zwapi_cm_ftr.h	252	@deprecated	ezwErrors ZwCamHoleFeatDataGet(int feat_idx, szwCamFtrHoleAttr *holeAttr)
ZwCamHoleFeatDataSet	zwapi_cm_ftr.h	255	@deprecated	ezwErrors ZwCamHoleFeatDataSet(int feat_idx, const szwCamFtrHoleAttr *holeAttr)
ZwCamInsertHoleToSpecComp	zwapi_cm_ftr.h	209		evxErrors ZwCamInsertHoleToSpecComp(const vxName ftrName, int faceCnt, szwEntityHandle *faceList, int cadCompId, double *depth, int *idxFtrGrp)
ZwCamIsCrvsClosed	zwapi_cm_op.h	286		ezwErrors ZwCamIsCrvsClosed(double tol, int crv_cnt, svxCurve *curves, int *isClosed)
ZwCamLicProductCheck	zwapi_cm_query.h	119		ezwErrors ZwCamLicProductCheck(int product_index, int *check_flag)
ZwCamMachineIntGet	zwapi_cm_machine.h	98		ezwErrors ZwCamMachineIntGet(int idx_mach, evxCmMachAttr param, int *value)
ZwCamMachineIntSet	zwapi_cm_machine.h	91		ezwErrors ZwCamMachineIntSet(int idx_mach, evxCmMachAttr param, int value)
ZwCamMachineStrGet	zwapi_cm_machine.h	101		ezwErrors ZwCamMachineStrGet(int idx_mach, evxCmMachAttr param, int strSize, char *str)
ZwCamMachineStrSet	zwapi_cm_machine.h	104		ezwErrors ZwCamMachineStrSet(int idx_mach, evxCmMachAttr param, const char *str)
ZwCamObjGroupIdxFromNameInq	zwapi_cm_query.h	160		ezwErrors ZwCamObjGroupIdxFromNameInq(const char *name, int *index)
ZwCamObjNameInq	zwapi_cm_query.h	154		ezwErrors ZwCamObjNameInq(int objIdx, char *name, int size)
ZwCamObjNameSet	zwapi_cm_query.h	157		ezwErrors ZwCamObjNameSet(int objIdx, const char *name)
ZwCamOpCamComponentListGet	zwapi_cm_op.h	265		ezwErrors ZwCamOpCamComponentListGet(int idxOp, int *cmCompCnt, int **cmCompList)
ZwCamOpDoubleGet	zwapi_cm_op_param.h	31		ezwErrors ZwCamOpDoubleGet(int idx_Op, ezwCamOpParam param, double *value)
ZwCamOpDoubleSet	zwapi_cm_op_param.h	15		ezwErrors ZwCamOpDoubleSet(int idx_Op, ezwCamOpParam param, double value)
ZwCamOpFtrGrpListGet	zwapi_cm_op.h	262		ezwErrors ZwCamOpFtrGrpListGet(int idxOp, int *ftrGrpCnt, int **ftrGrpList)
ZwCamOpIdxFromNameInq	zwapi_cm_query.h	163		ezwErrors ZwCamOpIdxFromNameInq(const char *name, int *index)
ZwCamOpIntGet	zwapi_cm_op_param.h	34		ezwErrors ZwCamOpIntGet(int idx_Op, ezwCamOpParam param, int *value)
ZwCamOpIntSet	zwapi_cm_op_param.h	22		ezwErrors ZwCamOpIntSet(int idx_Op, ezwCamOpParam param, int value)
ZwCamOpM2PreDrillPointsClear	zwapi_cm_op.h	283		ezwErrors ZwCamOpM2PreDrillPointsClear(int idxOp)
ZwCamOpM2PreDrillPointsGet	zwapi_cm_op.h	277		ezwErrors ZwCamOpM2PreDrillPointsGet(int idxOp, int *pCount, svxPoint **pPoints)
ZwCamOpM2StartPointsClear	zwapi_cm_op.h	280		ezwErrors ZwCamOpM2StartPointsClear(int idxOp)
ZwCamOpM2StartPointsGet	zwapi_cm_op.h	274		ezwErrors ZwCamOpM2StartPointsGet(int idxOp, int *pCount, svxPoint **pPoints)
ZwCamOpNest	zwapi_cm_nester.h	44		ezwErrors ZwCamOpNest(int *polyNum, szwCamNestRegion **polysResult, szwCamNestRegion **canvansResult)
ZwCamOpNestAddCanvas	zwapi_cm_nester.h	38		ezwErrors ZwCamOpNestAddCanvas(const szwCamNestRegion *canvas)
